社員番号,フォロワー数,いいね数
2109909,40,0
2109800,33,6
2109701,70,296
2109602,105,686
2109503,70,308
2109404,50,181
2109305,36,64
2109206,30,14
2109107,71,169
2108803,21,0
2108704,34,126
2108605,37,25
2108506,39,42
2108308,21,3
2108209,27,215
2108100,31,57
2108001,54,184
2107707,44,16
2107608,267,1646
2107509,121,4762
2107202,29,2
2107103,57,321
2107004,51,65
2106908,56,55
2106809,85,1345
2106700,32,8
2106502,107,467
2106304,34,136
2106106,79,118
2106007,30,7
2105901,55,39
2105802,41,9
2105604,58,74
2105307,34,28
2105208,41,89
2105000,10,0
2104805,29,9
2104706,31,6
2104607,80,1793
2104508,21,0
2104409,47,166
2104300,24,13
2104102,35,172
2104003,35,387
2103907,47,29
2103600,27,42
2103501,62,520
2103402,31,0
2103303,26,6
2103204,65,616
2103105,67,330
2103006,41,40
2102900,31,80
2102603,31,47
2102504,44,40
2102405,40,117
2102306,84,461
2102108,64,70
2102009,83,205
2101903,17,3
2101804,81,455
2101705,25,4
2101606,33,25
2101507,29,15
2101309,27,1
2101200,121,1507
2070704,50,105
2070605,34,106
2070407,66,247
2070209,172,2173
2069906,56,80
2069807,79,660
2069708,30,140
2069500,36,103
2069401,44,216
2069302,83,433
2069203,47,124
2069104,13,8
2069005,29,307
2068909,55,195
2068800,33,10
2068602,32,72
2068503,38,6
2068305,48,111
2068107,46,184
2067902,38,124
2067704,98,858
2067605,42,174
2067407,24,20
2067308,57,323
2067209,54,134
2067100,34,130
2066905,37,130
2066707,38,175
2066608,39,195
2066509,70,336
2066301,49,219
2066202,22,78
2066004,33,64
2065809,30,8
2065502,33,133
2065403,64,119
2064703,44,37
2064604,28,82
2064307,84,808
2064109,28,213
2063706,57,80
2063300,40,179
2063201,52,317
2063003,38,15
2062303,41,126
2062204,285,45018
2062105,40,90
2062006,20,51
2061900,42,28
2061702,22,4
2061603,46,533
2061504,59,498
2061405,30,59
2061108,72,200
2061009,45,119
2060903,46,273
2060804,31,230
2060606,31,66
2060507,38,4
2060408,28,78
2060200,49,266
2060101,42,172
2060002,135,3167
2059907,54,57
2059808,41,360
2059709,72,98
2059600,22,6
2059501,29,212
2058702,32,130
2058603,42,711
2058504,22,15
2058306,53,866
2058207,45,18
2058108,30,635
2058009,46,106
2057804,88,383
2057606,38,8
2057507,102,528
2057408,19,67
2057309,58,250
2057101,31,29
2057002,70,361
2056708,45,108
2056609,39,80
2056500,31,108
2056401,51,70
2056203,41,58
2056005,56,122
2055909,54,106
2055800,40,430
2055701,77,189
2055602,303,6807
2054803,39,23
2054605,46,850
2054407,59,281
2054209,101,189
2054100,54,52
2054001,112,1310
2053509,56,105
2053103,45,86
2052908,187,6520
2052700,50,15
2052601,74,110
2052205,43,559
2051901,41,68
2051802,23,59
2051703,51,114
2051604,54,111
2051406,24,103
2051109,233,2662
2051000,55,219
2050904,61,289
2050805,42,61
2050508,60,462
